ID
    US11286939B2
citation_exist
    Patent Citations (596)
citation_infor
598
    Publication number,Priority date,Publication date,Assignee,Title
    US35604A,,1862-06-17,,Improvement in rotary pum-ps
    US116797A,,1871-07-11,,Improvement in tables, stands
    US209219A,,1878-10-22,,Improvement in turbine water-wheels
    US251104A,,1881-12-20,,Upright-shaft support and step-reli ever
    US307845A,,1884-11-11,,Joseph s
    US364804A,,1887-06-14,,Turbine wheel
    US390319A,,1888-10-02,,Thomas thomson
    US495760A,,1893-04-18,,Edward seitz
    US506572A,,1893-10-10,,Propeller
    US585188A,,1897-06-29,,Screen attachment for suction or exhaust fans
    US757932A,1903-08-13,1904-04-19,William Arthur Jones,Shaft-fastener.
    US882477A,1905-01-30,1908-03-17,Natural Power Company,Centrifugal suction-machine.
    US882478A,1905-07-31,1908-03-17,Natural Power Company,Pressure-blower.
    US890319A,1907-03-25,1908-06-09,Lewis E Wells,Ladder rung and socket.
    US898499A,1906-02-21,1908-09-15,James Joseph O'donnell,Rotary pump.
    US909774A,1908-09-15,1909-01-12,George W Flora,Rotary motor.
    US919194A,1906-02-10,1909-04-20,Us Stone Saw Company,Stone-sawing machine.
    US1037659A,1912-02-14,1912-09-03,Samuel Rembert,Exhaust-fan.
    US1100475A,1913-10-06,1914-06-16,Emile Franckaerts,Door-holder.
    US1170512A,1911-05-04,1916-02-08,American Well Works,Pump.
    US1185314A,1916-03-02,1916-05-30,American Steel Foundries,Brake-beam.
    US1196758A,1910-09-13,1916-09-05,David W Blair,Pump.
    US1304068A,,1919-05-20,,Ferdinand w
    US1331997A,1918-06-10,1920-02-24,Russelle E Neal,Power device
    US1377101A,1919-11-28,1921-05-03,Sparling John Ernest,Shaft-coupling
    US1380798A,1919-04-28,1921-06-07,George T Hansen,Pump
    US1439365A,1921-03-16,1922-12-19,Unchokeable Pump Ltd,Centrifugal pump
    US1454967A,1919-07-22,1923-05-15,Gill Propeller Company Ltd,Screw propeller and similar appliance
    US1470607A,1922-11-03,1923-10-16,Unchokeable Pump Ltd,Impeller for centrifugal pumps
    US1513875A,1922-12-04,1924-11-04,Metals Refining Company,Method of melting scrap metal
    US1518501A,1923-07-24,1924-12-09,Gill Propeller Company Ltd,Screw propeller or the like
    US1522765A,1922-12-04,1925-01-13,Metals Refining Company,Apparatus for melting scrap metal
    US1526851A,1922-11-02,1925-02-17,Alfred W Channing Inc,Melting furnace
    US1669668A,1927-10-19,1928-05-15,Marshall Thomas,Pressure-boosting fire hydrant
    US1673594A,1921-08-23,1928-06-12,Westinghouse Electric & Mfg Co,Portable washing machine
    US1697202A,1927-03-28,1929-01-01,American Manganese Steel Co,Rotary pump for handling solids in suspension
    US1717969A,1927-01-06,1929-06-18,Goodner James Andrew,Pump
    US1718396A,1924-01-12,1929-06-25,Raymond Guy Palmer,Centrifugal pump
    US1896201A,1931-01-17,1933-02-07,American Lurgi Corp,Process of separating oxides and gases from molten aluminum and aluminium alloys
    US1988875A,1934-03-19,1935-01-22,Saborio Carlos,Wet vacuum pump and rotor therefor
    US2013455A,1932-05-05,1935-09-03,Burke M Baxter,Pump
    US2035282A,1932-08-31,1936-03-24,Sr John Schmeller,Furnace construction
    US2038221A,1935-01-10,1936-04-21,Western Electric Co,Method of and apparatus for stirring materials
    US2075633A,1936-05-27,1937-03-30,Frederick O Anderegg,Reenforced ceramic building construction and method of assembly
    US2090162A,1934-09-12,1937-08-17,Rustless Iron & Steel Corp,Pump and method of making the same
    US2091677A,1936-01-31,1937-08-31,William J Fredericks,Impeller
    US2138814A,1937-03-15,1938-12-06,Kol Master Corp,Blower fan impeller
    US2173377A,1934-03-19,1939-09-19,Schultz Machine Company,Apparatus for casting metals
    US2264740A,1934-09-15,1941-12-02,John W Brown,Melting and holding furnace
    GB543607A,1939-12-21,1942-03-05,Nash Engineering Co,Pumps
    US2280979A,1941-05-09,1942-04-28,Rocke William,Hydrotherapy circulator
    US2290961A,1939-11-15,1942-07-28,Essex Res Corp,Desulphurizing apparatus
    US2300688A,1941-03-24,1942-11-03,American Brake Shoe & Foundry,Fluid impelling device
    US2304849A,1940-05-08,1942-12-15,Edward J Ruthman,Pump
